Files stored on S3: 24114
Total size stored:  81.8858743049204 GB
Content stored:
2016-07-23 15:44:45          0 targeted-backup/rich/
2018-06-09 07:27:40         28 targeted-backup/rich/D/My Pictures/.picasa.ini
2019-08-31 12:32:55       3167 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/.picasa.ini
2016-07-28 10:40:31    3538877 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0707.JPG
2016-07-28 10:42:31    3536027 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0708.JPG
2016-07-28 10:48:24    2752085 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0709.JPG
2016-07-28 10:45:13    4356812 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0710.JPG
2016-07-28 10:43:37    3479882 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0711.JPG
2016-07-28 10:45:15    3651144 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0712.JPG
2016-07-28 10:45:39    3411915 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0713.JPG
2016-07-28 10:49:11    4011532 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0714.JPG
2016-07-28 10:55:12    4694036 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0715.JPG
2016-07-28 10:54:57    4613089 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0716.JPG
2016-07-28 10:49:58    3297042 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0717.JPG
2016-07-28 10:55:24    3320565 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0718.JPG
2016-07-28 11:03:27    3298669 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0719.JPG
2016-07-28 10:52:23    4073173 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0722.JPG
2016-07-28 11:01:36    5339837 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0723.JPG
2016-07-28 10:54:31    2849386 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0724.JPG
2016-07-28 10:54:24    3525230 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0725.JPG
2016-07-28 10:59:51    3455191 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0726.JPG
2016-07-28 10:57:03    4986506 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0727.JPG
2016-07-28 11:02:40    3707192 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0728.JPG
2016-07-28 10:59:50    3197346 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0729.JPG
2016-07-28 11:00:39    3225063 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0730.JPG
2016-07-28 11:01:26    3242631 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0731.JPG
2016-07-28 11:03:58    2562729 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0732.JPG
2016-07-28 11:09:19    2113608 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0733.JPG
2016-07-28 11:05:20    2090475 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0734.JPG
2016-07-28 11:11:45    3937160 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0735.JPG
